Post,Comment
Uganda to prosecute US national on terrorism charges,All govt institutions right from state House down to the LC1 are corrupt and rotten to the core.no institution in Uganda today has a moral authority to investigate it point a finger at the other coz they're all the same.New govt new regime new leaders new everything is the only way to save this country.
Uganda to prosecute US national on terrorism charges,How can a rotten insititution investigate its counterpart who is also rotten?The only thing is m7 kk and other generals out and uganda would be the #PEARLOFAFRICA.again.
Uganda to prosecute US national on terrorism charges,Ah  maybe he was on his way to Somalia  and got a wrong  aviation  and besides how did he pass the two airports  and what if he wanted to cause havoc in the aircraft.? Guys  hundle him well
Uganda to prosecute US national on terrorism charges,Bazunguz call us corrupt and they can also prove it... We need to surprise them and do the opposite. How I wish everyone in Africa could do their jobs diligently!! FOR GOD AND MY COUNTRY.
Uganda to prosecute US national on terrorism charges,Our borders are too porous to allow anyone entry into Uganda and to make matters worse corruption at it's best.
Uganda to prosecute US national on terrorism charges,UPF is Gud at crisis mgmt. Wat wud have happened if they had no issues with de wife? Uganda zaabu
Uganda to prosecute US national on terrorism charges,Is this after Tamale Mirundi's talk? He actually advocated for sacking all immigation officers.
Uganda to prosecute US national on terrorism charges,Useless immigration...I once witnessed a dangerous unprofessional shocking security protocol at EBB  we got no immigration trust me. Only money hunters.
Uganda to prosecute US national on terrorism charges,Under probe??? Mpozi in which country...u mean UGANDA as in U GA NDA
Uganda to prosecute US national on terrorism charges,Wn dd i read  immigration & aviation police undr probe invstigation 4allwing police arrest KB at z airport evn b4 signing out his rturn tickt?
Uganda to prosecute US national on terrorism charges,Should we hope for any positive result!
Uganda to prosecute US national on terrorism charges,But Andrew rugasira must u comment????
Uganda to prosecute US national on terrorism charges,Our security is rotten ...
Uganda to prosecute US national on terrorism charges,The problem is that at the boarder police wont check whites  but we even if you present ID they will treat you like a foreigner but all in all DADDY MUSEVENI HE SHOULD BE AWARE THAT WE DONT HAVE THAT SECURITY
Cashier goes missing  lover arrested,I pity Uganda Police Bambi. Instead of summoning the poor boy to record a statement   they just proceed to arrest as though they have envidence. I cry loud oh poor Ugandan. Ugandan Detectives shd be sent to USA to study how and why crimes are committed.
Cashier goes missing  lover arrested,Poor sentence construction. That headline means: The police have arrested two people who went missing under mysterious circumstances. One of those missing persons was the boyfriend of a middle-aged woman. In that case  it is even useless to try to redeem the use of the adjective middle-aged on a 28year old woman.
Cashier goes missing  lover arrested,hahaha   some one of early 30z cant scare people mbu she is lost    may be if they kill her
Cashier goes missing  lover arrested,When u love rich mens daughters.... They kidnap them for ransom ..poor guy is arrested faa
Cashier goes missing  lover arrested,28 mbu middle aged mtsweeee
Cashier goes missing  lover arrested,where was this from?
Cashier goes missing  lover arrested,Middle aged kyo ka new vision @28yrs haaa haaa that means she will be dead by 56yrs how can one by middle aged? @ that a person finishes university in some courses.
Cashier goes missing  lover arrested,God have mercy and take control of this situation  we need her alive
Cashier goes missing  lover arrested,Dats Y Iam Single kati Boy Friend Agiramu Wa??
Cashier goes missing  lover arrested,Prayer is the key mi dia trust God he will give u the answer n he will show u tureth
Cashier goes missing  lover arrested,In her late 20s
Cashier goes missing  lover arrested,!!!!!!!!!!!!!!!!!!!! maaaaay beeeeeeeee
Cashier goes missing  lover arrested,Boyfriend is always first suspect
Cashier goes missing  lover arrested,Ndwooza ola l new BF might no some thing
Cashier goes missing  lover arrested,Uganda zaabu mpawo atalikaba
Cashier goes missing  lover arrested,Now bf arrested for what??.
Cashier goes missing  lover arrested,Arrest side kick too
Cashier goes missing  lover arrested,Sad
Agaba rose above mental illness to shine at S4,True  wise men dont come from buganda place
Agaba rose above mental illness to shine at S5,So what?
Agaba rose above mental illness to shine at S6,Congratulations co name. God is the greatest. Thank you for making it  illness come and go.. Hope attracts the future. BUSHENYI oyyyee. Good luck to all Bushenyi students and Uganda at large.
Agaba rose above mental illness to shine at S7,I have a bone to pick with journalists. Every time UNEB results are out  they go out to schools to extort money from management and owners who they convenience that it's a form of advertising to have their best candidates in the papers. They even fabricate statistics showing the best schools and if you critically analyse the list  you realise it has more private schools known for placing adverts.what ever parameters they use to come to this conclusion  they them selves know better.
Agaba rose above mental illness to shine at S8,oh congs ma dia en entire staff light secondary school .we wish the best
Agaba rose above mental illness to shine at S9,So what? Did he attend examination to fail or pass? So irrelevant
Agaba rose above mental illness to shine at S10,I don't believe in uneb results no more !!!!! You know why !!
Agaba rose above mental illness to shine at S11,God being his help he can make it to greater heights
Agaba rose above mental illness to shine at S12,The district with the most brilliant guys ever. Envy Or Not #Bushenyi remains itself
Agaba rose above mental illness to shine at S13,Uo the Hero my Brother
Agaba rose above mental illness to shine at S14,Is he aboy?..Rose
Agaba rose above mental illness to shine at S15,cheers my name sake.
Agaba rose above mental illness to shine at S16,Congs
Agaba rose above mental illness to shine at S17,ee mental what??? hmmn
Agaba rose above mental illness to shine at S18,Congs
Agaba rose above mental illness to shine at S19,Wow
Agaba rose above mental illness to shine at S20,Congrats. Bravo
Agaba rose above mental illness to shine at S21,Asiimwe Colette Hlest  Elith Njoki Nabimanya Congz
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,Namwe mutulekumu good enough nti they can afford to go German for treatment how about fellow women who die in poor hospitals all over the country and there not reported at all.bantu mwe mwatutama .let her go her journey ended.
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,Her day has come let her go you wait yours
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,Sleep well gentle soul
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,So sad.....
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,rip
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,RIP
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,Rip
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,Requeiscat in pace
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,Rip
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,Rip
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,So??????
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,Rip
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,Rip
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,Rip
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,R.I.P
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,Rip
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,So sorry.
Body of Gen Aronda Nyakairima¡¯s sister still in Germany,Sorry Rip
'Fake' doctor accused of infecting 46 Indians with HIV arrested,that's also happening in our country in health centers .. imagine wen an HIV patient is the one doing the testing  what do u really expect
'Fake' doctor accused of infecting 46 Indians with HIV arrested,How sad! Human life is sacred. Whoever plays around with people's lives deserves a very severe punishment; one that will send a message to other ill minded individuals to not even think of committing such inhuman acts. R.I.P humanity
'Fake' doctor accused of infecting 46 Indians with HIV arrested,Not any penalty at all for the word of God says we should not condemed  it is the Lord to condem and the Bible says that we should forgive our friends.
'Fake' doctor accused of infecting 46 Indians with HIV arrested,Such A Person Should Be Hanged With Immediate Effect.
'Fake' doctor accused of infecting 46 Indians with HIV arrested,Accept injections when it's very necessary  and while at it make sure you see the health care worker unpacking the syringe and needle
'Fake' doctor accused of infecting 46 Indians with HIV arrested,He deserves a death penalty
'Fake' doctor accused of infecting 46 Indians with HIV arrested,let him fetch 46 yrs in jelly as the namba of p'le he put them on HIV disease.
'Fake' doctor accused of infecting 46 Indians with HIV arrested,Your Excellency M7  come and read this :( :( :( . What penalty does this guy deserve?
'Fake' doctor accused of infecting 46 Indians with HIV arrested,The original news from sky state 33 people
'Fake' doctor accused of infecting 46 Indians with HIV arrested,Waoo    what a heartless guy? may the law takes its part
'Fake' doctor accused of infecting 46 Indians with HIV arrested,What ?????
'Fake' doctor accused of infecting 46 Indians with HIV arrested,Wrong picture!!
'Fake' doctor accused of infecting 46 Indians with HIV arrested,Too bad
'Fake' doctor accused of infecting 46 Indians with HIV arrested,Sexual intercourse has been cited as the leading cause of HIV/AIDS  BUT now this intentional infection phenomenal of injections is common. To me all the medical practitioners must be screened and those found to have HIV must be isolated and restricted to only oral therapies
'Fake' doctor accused of infecting 46 Indians with HIV arrested,That means Ugandans are not at risk since indians have sticky cultural behavior when it comes to mixing races .... sorry about the incident ....
'Fake' doctor accused of infecting 46 Indians with HIV arrested,That means Ugandans are not at risk since indians have sticky cultural behavior when it comes to mixing races .... sorry about the incident .... now am proud not to be an indian
Police slap murder charges against Kitatta¡¯s brother  7 others,Its not u  itz the Updf  stop confusing the pipo of Uganda u foolz
Police slap murder charges against Kitatta¡¯s brother  7 others,I thought police destroys confiscated drugs but now this proves they just consume them by themselves.
Police slap murder charges against Kitatta¡¯s brother  7 others,why use had english slap  people may not understand jst say impose murder charges on them
Police slap murder charges against Kitatta¡¯s brother  7 others,The Police has lost its salt. It no longer has the public goodwill to prosecute criminals which it praises in public for 'fighting crime'.
Police slap murder charges against Kitatta¡¯s brother  7 others,Police is really had working as usual protect citizens and their properties .uganda zaabu
Police slap murder charges against Kitatta¡¯s brother  7 others,Kayima want to hoodwink people that he didnt know that boda boda 2010 goons were untouchable?If i may ask him what was done to the boda boda 2010 fools who beat up our kidz at Busega coz of red ribbons on their heads and the videos exists but the police until now is investigating.If it wasnt for CMI boda boda 2010 goons would be still murdering robbing and beating up people.
Police slap murder charges against Kitatta¡¯s brother  7 others,You are supposed to be given a certificate of Demerit
Police slap murder charges against Kitatta¡¯s brother  7 others,Why to give out kitata's bro? Bcz kitata Was placed by Kahura. We no longer need news from police bt from katumba
Police slap murder charges against Kitatta¡¯s brother  7 others,Abasamia say  kizalidde Muntamu ng mukomubi azadde balongo. Police spokesman  where were u be4 UPDF arrest these notorious people so  its better to inform us that UPDF has charged with different cases other than letting my mamma in BWANIHA village/ perish  BUSIME S/C BUSIA D.U that yo justice
Police slap murder charges against Kitatta¡¯s brother  7 others,Panicking Police now!
Police slap murder charges against Kitatta¡¯s brother  7 others,Now that's is the end of this case.
Police slap murder charges against Kitatta¡¯s brother  7 others,Why not kitata??? His godfather has helped him??
Police slap murder charges against Kitatta¡¯s brother  7 others,And why not Kitata himself ??
Police slap murder charges against Kitatta¡¯s brother  7 others,Not surprised good job Police
Police slap murder charges against Kitatta¡¯s brother  7 others,Interesting!!
Police slap murder charges against Kitatta¡¯s brother  7 others,Hahahaaaaaaas karekyezi
Police slap murder charges against Kitatta¡¯s brother  7 others,Slapped is small.. .bombed wd sound better
Police slap murder charges against Kitatta¡¯s brother  7 others,Why Moslems?????
Telecom firm in Shs180b network upgrade,fake news.......very poor network coverage and limitations on self data usage.... No sense...... Airtel revise ur ways.... For sure your network is the worst
Telecom firm in Shs180b network upgrade,increasing coverage they have done but internet strength to meet the growing network users is another thing. i dont know whether Airtel & UCC are both aware of how weak is airtel internet? you buy your bundle & it gets used up before even loading any content its really disappointing.
Telecom firm in Shs180b network upgrade,Coverage would be OK but capacity is the problem. Your Network Engineers need to optimise the network thoroughly.
Telecom firm in Shs180b network upgrade,POOR INTERNET NETWORK.. Africel is way better than you...
Telecom firm in Shs180b network upgrade,For me i changed to Airtel-Kenya coz it's broadband covers my areas of Busia and it's super fast  reliable and very cheap compared to Airtel Uganda
Telecom firm in Shs180b network upgrade,Coverage is done but quality and Price for data must be checked. Am struggling with network here now  on social data which nowdays shows blurry videos
Telecom firm in Shs180b network upgrade,increase on network coverage wil backup better data usage to the users especially to those researchers of different kinds
Telecom firm in Shs180b network upgrade,A kadongo kamu song will play half way when aitel internet is still searching  though beta than mtn
Telecom firm in Shs180b network upgrade,Even if you increase coverage your network is very poor that's why am on africell
Telecom firm in Shs180b network upgrade,Yah i watched da newz yesto ........thanks to airtel n ts mai favourite.....
Telecom firm in Shs180b network upgrade,Of course their internet network is very poor.
Telecom firm in Shs180b network upgrade,I think that 4G meant speed of putting up posters nothing else.
Telecom firm in Shs180b network upgrade,Still I prefer mtn anytime any day
Telecom firm in Shs180b network upgrade,Conq aitel
Telecom firm in Shs180b network upgrade,1G upcountry!!!
Telecom firm in Shs180b network upgrade,good
Telecom firm in Shs180b network upgrade,My airtel net work disappears after loading MBS then its comes after they got expired
Telecom firm in Shs180b network upgrade,Will he refund the money?
Telecom firm in Shs180b network upgrade,He is unlucky OR he ate alone.There are very many soliciting bribes within the same institution un-caught and they brag freely publically.
Telecom firm in Shs180b network upgrade,15million only coz his muganda 29 m + others hundreds of men and woman some told us 40ms some say 80m for lifting your year not to die .nocense
Telecom firm in Shs180b network upgrade,You only arrest small fish the baganda how about the bakoto group. Kale bantu mwe mwantama kunsi eno
Telecom firm in Shs180b network upgrade,Mayinja some ppl say westerner s are the only one s in big position s in that authority
Telecom firm in Shs180b network upgrade,Why would you assume we'd think he's related to the singer simply because they're namesakes?
Telecom firm in Shs180b network upgrade,Why don't they target big fish ? Even 15m is nothing to a businessman
Telecom firm in Shs180b network upgrade,Good work  but was the money recovered???
Telecom firm in Shs180b network upgrade,corruption in URA is at climax but with no hopes it will go down #Reduce
Telecom firm in Shs180b network upgrade,Good Move. Other Untouchable Big Fish Are There Lurking About.
Telecom firm in Shs180b network upgrade,Fired no problem  he will be employed by kcca
Telecom firm in Shs180b network upgrade,Good work. Fire more!
Telecom firm in Shs180b network upgrade,Let him go with his executive
Telecom firm in Shs180b network upgrade,that's not enough  let him vomit the cash too
Telecom firm in Shs180b network upgrade,old kampala is kampala south
Telecom firm in Shs180b network upgrade,This is Uganda
Telecom firm in Shs180b network upgrade,???
Telecom firm in Shs180b network upgrade,Only
Telecom firm in Shs180b network upgrade,Try to put hot pepper on the fingers.
Telecom firm in Shs180b network upgrade,sory datz a habit na eazi to get away from. but try all possible ways to kill it by making ur hands busy put pepper on fingers try putting on gloves en text me if u want more
Telecom firm in Shs180b network upgrade,Messi is better than ronaldo
Telecom firm in Shs180b network upgrade,Go for mental check up sebbo tuveko totukoya bambi.
Telecom firm in Shs180b network upgrade,Carol this is for u; read more here...
Telecom firm in Shs180b network upgrade,keep biting it is just a harmless habit.
Telecom firm in Shs180b network upgrade,Lie. Ive been bitting ma nails since
Telecom firm in Shs180b network upgrade,it's nt amental problem its jst abehavior in response to change in assorounding env't
Telecom firm in Shs180b network upgrade,Just cut off ur fingers
Telecom firm in Shs180b network upgrade,Get a borne
Telecom firm in Shs180b network upgrade,Olimwenzi
Telecom firm in Shs180b network upgrade,Next'll a finger!
Telecom firm in Shs180b network upgrade,The outcome is this....
Telecom firm in Shs180b network upgrade,Just stop!!
Telecom firm in Shs180b network upgrade,Hahaha manicure like ladies hahaha
Telecom firm in Shs180b network upgrade,Cut off ur hand
Telecom firm in Shs180b network upgrade,Hahaha... M not alone
Telecom firm in Shs180b network upgrade,Visit a psychiatric specialist
Do better than NMS  Kasaija tells Joint Medical Stores,Interesting  telling a private firm to out compete a gov't parastatal  words of a Minster more over of finance  Uganda is is surely rotten
Do better than NMS  Kasaija tells Joint Medical Stores,Where are the opposition in this country??? I expect one of the mp to resign over the age limit amendment n see how brave they are
Do better than NMS  Kasaija tells Joint Medical Stores,THEY ARE not THE SAME!?
Do better than NMS  Kasaija tells Joint Medical Stores,Hon minister are u working for jms or the government in charge of funding the the Nms be in Class.
Do better than NMS  Kasaija tells Joint Medical Stores,Don't give a F*k nigga s toking of competition wen there r no drugs in government health centers Hmh I hear #uganda #zaabu. Frnds #uganda #bwaavu!!!!!
Do better than NMS  Kasaija tells Joint Medical Stores,Let Kasaija first work on his incompetences before he attacks anybody! That thief and all his team in the ministry esp that guy with those terrible teeth. Can Kasaija come out and explain this? ? https://kampalapost.com/content/news/probe-pins-kasaija-muhakanizi-misappropriation-shs720bn-medicine-cash
Do better than NMS  Kasaija tells Joint Medical Stores,Are you willing to be a healthy minister next term how can they do it perfectly without enough funds don't think like your boss
Do better than NMS  Kasaija tells Joint Medical Stores,Ugandans wake up ! JMS & NMS aren't government bodies duplicating services ? High level thuggery of tax payers money !
Do better than NMS  Kasaija tells Joint Medical Stores,Such comments are expected from such guys who wud do and say anything just to keep m7 in power since its from that that they eat
Do better than NMS  Kasaija tells Joint Medical Stores,As if JMS is a government enterprise....the limit had to be 75 or below at 70!!
Do better than NMS  Kasaija tells Joint Medical Stores,what kind of advice do u give when u have failed to advice M7 to retire. Hehe  enough is enough a cock does not dance at night.
Do better than NMS  Kasaija tells Joint Medical Stores,Ts this junta govmnt Ch z incompetent how does he expect ts institution to b competent?
Do better than NMS  Kasaija tells Joint Medical Stores,So is there any functional difference in mandates between JMS and NMS or one is a duplicate of the othee
Do better than NMS  Kasaija tells Joint Medical Stores,Wait. You mean two government agencies have now become competitors.
Do better than NMS  Kasaija tells Joint Medical Stores,Government abdicated its duties long ago through privatization!
Do better than NMS  Kasaija tells Joint Medical Stores,JMS vs NMS who is fooling who ?
Do better than NMS  Kasaija tells Joint Medical Stores,The minister is right
Do better than NMS  Kasaija tells Joint Medical Stores,Ogukadeeee Gutunula nga embwa
Mountains of the Moon University applies for gov't take over,The former executive director of NCHE  Prof ABK Kasozi once said that universities cannot only depend and rely on tuition fees as a source of their income to support operations. Those that did  would either merge with bigger ones  be taken over by government or collapse and close. This has come to pass.
Mountains of the Moon University applies for gov't take over,This will cause regional imbalance  so there are 3 public universities this will not be a fair move
Mountains of the Moon University applies for gov't take over,Sad news but even the government failed to maintain there's
Mountains of the Moon University applies for gov't take over,If they have failed to manage it privately how will it run when it becomes a public...... Because in most cases private institutions r more efficient than the public ones...
Mountains of the Moon University applies for gov't take over,MMU is one of the best Universities we have today in Uganda  I guess giving it to our fake military government is a move to backsliding it. The community should join hands together with the Tooro Kingdom cause the got money and make it shine the more #BatooroGetSerious
Mountains of the Moon University applies for gov't take over,The king is described as a boy. Maybe they have failed to sustain their institution thus asking the govt to takeover
Mountains of the Moon University applies for gov't take over,Good or bad? Ask kabale university.....they will tell you
Mountains of the Moon University applies for gov't take over,why not keep it private or community based they think everything must be gov't
Mountains of the Moon University applies for gov't take over,Mountain of the moon university? Ummmmm!!!!!
Mountains of the Moon University applies for gov't take over,Hope they directed their request to the right minister and right ministry.
Mountains of the Moon University applies for gov't take over,They h¨¤ve failed to maintain it.......
Mountains of the Moon University applies for gov't take over,This dark continent hmmm
Mountains of the Moon University applies for gov't take over,Great move
Mountains of the Moon University applies for gov't take over,It's  one of the fakest universities we hv n east Africa let them just close it
Mountains of the Moon University applies for gov't take over,A great move
Mountains of the Moon University applies for gov't take over,gagagaaaa wuyii
Mountains of the Moon University applies for gov't take over,Kasenene?
Mountains of the Moon University applies for gov't take over,Why???
Why Ankole Christians protested against Bishop Mwesigwa,Those people love protesting. From King Henry time when he organised for leaving of Catholic church calling for Protestant Refomation. To today in Uganda. Protestants are always Protesting will there name shall remain Protestants even in Heaven.
Why Ankole Christians protested against Bishop Mwesigwa,That z why they are called  protestants  n infact d first rioter in d history of d catholic church z their founder - Martin Luther King.
Why Ankole Christians protested against Bishop Mwesigwa,Church issues are always solved within the Church and don't use your riches in Ankole to interfere with God's work.Remember God gave you riches but if turn against him then He will also turn against you.Remember religious leaders are God's ambassadors and you either receive blessings or curshes from them.so don't take your politics to c Church
Why Ankole Christians protested against Bishop Mwesigwa,What is this man's stand on  Togikwatako'?? That might be the source of his troubles
Why Ankole Christians protested against Bishop Mwesigwa,Looks there is a hidden sponsor!! Why now???
Why Ankole Christians protested against Bishop Mwesigwa,All they want is to be under south ankole diocese which they say is nearer compared to where they're currently.
Why Ankole Christians protested against Bishop Mwesigwa,It's nothing. They are just being Protestants.
Why Ankole Christians protested against Bishop Mwesigwa,Let them use official means to join South Ankole political demonstrations are not necessary.
Why Ankole Christians protested against Bishop Mwesigwa,U mix religion and politics.... All u will get is disaster
Why Ankole Christians protested against Bishop Mwesigwa,They should should start their own if not contented with the leadership!
Why Ankole Christians protested against Bishop Mwesigwa,Did they suggested what they want after protest?
Why Ankole Christians protested against Bishop Mwesigwa,Cerebrated???? Celebrated ?
Why Ankole Christians protested against Bishop Mwesigwa,Did Christians cerebrate or celebrate???
Why Ankole Christians protested against Bishop Mwesigwa,Banange bikibinno?????
Why Ankole Christians protested against Bishop Mwesigwa,And hu cares?
Why Ankole Christians protested against Bishop Mwesigwa,Why always ankole region protesting against bishops  should every church become a diocese in ankole? Plz fellow Christians that's being more body than spiritual.
2 700 prisoners tipped for presidential pardon,That Sharma Kooky fella should have been shot. He savagely electrocuted the wife
3 700 prisoners tipped for presidential pardon,But keweesi murder suspects pardoned themselves kuba they know themselves and where are they tubawe kubilabo byakulisimansi
4 700 prisoners tipped for presidential pardon,I haven't read the post but my suggestion is that they make a mass grave for everyone who voted for yes. Where did Kibweteri of Kanungu go. He should come and work on the yes men
5 700 prisoners tipped for presidential pardon,That's good news  a welcome gesture to herald a new 7-year term  which should usher in reconciliation after differences of political opinion had kept people apart. It's a godsend chance for the will-be-released inmates to fit well in society  gaining acceptance within their native communities. The population has to forgive them for offences of the past (for which they've already served sentences) & give them new leases of life. References to the gravity of offences committed  as the case was with Kooky  would be injurious to the wellbeing of these returnees to 'normal life'. Let's forgive their past. Who doesn't err at one point or another? We're treading along a new path  shaping a new Uganda for the better.....let's welcome them with brotherly love. There's no room for reprisals. A good 'mark' of statesmanship.
6 700 prisoners tipped for presidential pardon,It may not sound good to the opponent side bt thanks our beloved president for having parental heart .
7 700 prisoners tipped for presidential pardon,There was even a Davinder Kumar  did he also see the light? Sad they didn't serve life.
8 700 prisoners tipped for presidential pardon,This is wat pastor Serwadda has been preaching year after year.
9 700 prisoners tipped for presidential pardon,Are Nyanzi and KB on the list????
10 700 prisoners tipped for presidential pardon,Actions after an overthrow of government
11 700 prisoners tipped for presidential pardon,Hope #Bryan_white isn't among   we hate such silly acts in public
12 700 prisoners tipped for presidential pardon,wabura muzei otukalakase emwaka olinga afuga ebigali
13 700 prisoners tipped for presidential pardon,Do They Include This Regimes Political Prisionerz
14 700 prisoners tipped for presidential pardon,Hope Dralu is one of them
15 700 prisoners tipped for presidential pardon,Thank u my President
16 700 prisoners tipped for presidential pardon,No work done
17 700 prisoners tipped for presidential pardon,mission accomplishers 
18 700 prisoners tipped for presidential pardon,We Christians we agree with that after repenting the sins are forgiven. They must do that first bse we are all human beings. We do sin.
19 700 prisoners tipped for presidential pardon,U DIE STUPID
Uganda among top US aid recipients,Last week Tumwebaze told the US ambassador to stop meddling in uganda politics now l think he knows who the pay master is.
Uganda among top US aid recipients,Try and get a sector analysis report for that funding. You will be shocked where the money goes and who gets it.
Uganda among top US aid recipients,What suprises me is that u dont see where the money Goes.ujust here 968billions have been given to uganda
Uganda among top US aid recipients,Ako kasimo ka state house for selling Uganda and Ugandans to bazungu
Uganda among top US aid recipients,U a de spearheaderz ov corrupt guys in Uganda  aren't u seeing reports ov Uganda debt network
Uganda among top US aid recipients,US has not given aid yo UG.It has given aid to awestern kingdom.
Uganda among top US aid recipients,I will tell my friend D. Triumph John to stop the said aid  unless I say so!
Uganda among top US aid recipients,Shame on us. That represents alot of dependence for a 50 + year old independent country as we call ourselves. I blame the population boom and the fact our president is always spoon feeding people instead of teaching them how to make it on their own. And the fact that government is concern more on foreign investment than the local and providing policies that favour them more then us the locals. Why afew that be exposed to the outside world have been made it but most still cry to the government for help. Because Uganda is no longer ours. But foreigners. Just the kind of attitude we need to make it to number 1 on that list. Style up ugandans
Uganda among top US aid recipients,Z that an achievement? there z nothing like free aid 
Uganda among top US aid recipients,Where does that money goes
Uganda among top US aid recipients,Hmm a sign of a failed state
Uganda among top US aid recipients,No wonder aid
Uganda among top US aid recipients,U.S. stop de aid
Uganda among top US aid recipients,It is sad!
Uganda among top US aid recipients,Mpaho
Uganda among top US aid recipients,USA is our second home after Ugandan soil.
Uganda among top US aid recipients,Let them stop after all they are of no use .the ARVS they are meant to buy don't .they are giving expired ones
250 drivers arrested as police tightens rules ahead of Christmas,It's not enough to only do it as the Xmas and New years day festive seaon approaches. It should be a daily job. Kasiima weddekko
251 drivers arrested as police tightens rules ahead of Christmas,Raise the number to 1000 before i thank you wholeheartedly
252 drivers arrested as police tightens rules ahead of Christmas,Good Job. Please keep it up to cub down avoidable accidents. Especially on Masaka Rd.
253 drivers arrested as police tightens rules ahead of Christmas,And it will only be for a day  they'll again wake up after numerous accidents.
254 drivers arrested as police tightens rules ahead of Christmas,i think the police is right  because  that masaka road has become very problematic
255 drivers arrested as police tightens rules ahead of Christmas,Subject all drivers to drugs ' test whoever tests positive you cancel the driving license.
256 drivers arrested as police tightens rules ahead of Christmas,Let's hope they are not making money for Xmas
257 drivers arrested as police tightens rules ahead of Christmas,#dailymonitor  by d time u posted dis update those motorists cud hav bn released by police  wat else does police want other dan mmmmmoney 4 x-mas& new-year!!!
258 drivers arrested as police tightens rules ahead of Christmas,I advise police to use BEES 4 deployment in this Christmas season.
259 drivers arrested as police tightens rules ahead of Christmas,time to make some Christmas dime
260 drivers arrested as police tightens rules ahead of Christmas,They are looking for Christmas money
261 drivers arrested as police tightens rules ahead of Christmas,Arrest even more
262 drivers arrested as police tightens rules ahead of Christmas,Good work police
263 drivers arrested as police tightens rules ahead of Christmas,Xmas seekers
